Cutting of pipework Road Crossing & laying in verge Water Mains,Dust inhalation,FFP-3 face masks to be worn by operatives when cutting and dust suppression water bottle to be used
civil modifications at existing chemical dosing shower position, working at height, operatives using ladders and stepladders shall always keep three points of contact
civil modifications at existing chemical dosing shower position, plant movements, attract drivers attention before approaching machine use plant with fitted cameras if possible banksman with machines at all time all reversing vehicle to have a banksman include plant working areas in the morning briefings and brief movement plans (as per cdm drawing) during inductions
civil modifications at existing chemical dosing shower position, noise, ensure breaker mufflers are correctly fitted
 general duties," poor visual finish, structurally unreliable poor quality materials","use reliable suppliers visually check materials on delivery, if visually defected then it is to be sent back to supplier cross check order and invoice for any mistakes"
installation of ducts and chambers,plant vehicle movements,close all access gates following deliveries
removal of spoil,plant vehicle movements,dumper driver needs to be get off the dumper when it is being loaded and ensure that the skip is not overloaded
 site set-up, vehicle collision on site. vehicle collision on entry and exit to site.,finger boards placed at the entrance to guide construction traffic into the compound ‘caution pedestrian crossing’ signs to be erected within the works where pedestrians need to cross the existing access roads to warn approaching traffic
280mm pe sdr11 rising main installation., weather and winter working,refer to winter working & driving conditions rams
 installation of tactiles, coshh," use under technical and manufactures specifications; wear correct ppe: overalls, concrete gloves, safety goggles, dust mask; ensure that hazards substance are put back into a secure location after use "
 installation of copers, hazardous substance.,"use under technical and manufactures specifications; wear correct ppe: overalls, concrete gloves, safety goggles, dust mask; ensure that hazardous substances are put back into a secure location after use "
